member_supplier_name~membership_number~catalogue_name~brand_name~label_name~appa_product_code~product_code~product_name~product_code_group~categorisation~category_ /_sub category~Memento Category~additional_keywords~product_tags~discontinued_stock~product_description~description_additional~product_features~product_materials~product_item_size~product_packaging_inner~product_image_file_name~alternate_views_image_file_names~group_image_file_name~colours_available_appa~colours_available_supplier~colour_image_file_names~colour_product_codes~product_sizes~size_images~size_product_code~decoration_options_available~decoration_areas~indent_only~branded~custom_field_1~custom_field_2~custom_field_3~price_decoration_description~decoration position ~decoration color~decoration_type~price_product_code~price_notes~MOQ~IOQ~qty_1~sell_1~qty_2~sell_2~qty_3~sell_3~qty_4~sell_4~qty_5~sell_5~qty_6~sell_6~qty_7~sell_7~qty_8~sell_8~additional_charges_name1~additional_charge_value1~Set-up Charge~additional_charges_notes1~additional_charges_name2~additional_charge_value2~additional_charges_notes2~carton_height~carton_width~carton_depth~carton_weight~carton_qty~carton_cubic~carton_notes~freight_description~product_URL
1317~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Deboss~1 position~Tone on tone~Deboss~Blind Emboss~On presentation box~10~~10~17.82~25~14.27~50~12.37~100~10.68~250~9.45~500~7.92~1000~7.45~2500~6.50~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1318~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Foil Filled Deboss (1 colour)~1 position~1 colour~Foil Filled Deboss~Foil Filled Emboss~On presentation box~10~~10~21.28~25~16.87~50~14.10~100~12.18~250~10.90~500~9.27~1000~8.17~2500~7.75~Setup~195~275~Repeat Setup Cost: $40~Pre Production Sample~~$195~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1319~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Foil Filled Deboss (2 colours)~1 position~2 colour~Foil Filled Deboss~Foil Filled Emboss~On presentation box~10~~10~22.84~25~18.42~50~15.66~100~13.68~250~12.35~500~10.62~1000~9.42~2500~9.00~Setup~235~330~Repeat Setup Cost: $40~Pre Production Sample~~$40~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1320~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 Colour Foil Stamp (1 colour)~1 position~1 colour~Foil Stamp~Foil Stamping~On presentation box~10~~10~17.82~25~14.27~50~12.37~100~10.68~250~9.45~500~7.92~1000~7.45~2500~6.50~Setup~185~260~Repeat Setup Cost: $30~Pre Production Sample~~$185~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1321~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 Colour Foil Stamp (2 colours)~1 position~2 colour~Foil Stamp~Foil Stamping~On presentation box~10~~10~18.86~25~15.31~50~13.41~100~11.68~250~10.42~500~8.82~1000~7.75~2500~7.33~Setup~215~305~Repeat Setup Cost: $30~Pre Production Sample~~$30~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1322~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~18.42~25~11.16~50~8.60~100~7.08~250~5.88~500~5.48~1000~4.92~2500~4.49~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1323~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~30.88~25~16.35~50~11.23~100~8.43~250~6.42~500~5.97~1000~5.31~2500~4.76~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1324~2164~The Range 2017~~~~21M8813~Nickel Plated Bookmark / Money clip~21M8813~21M21M8813~Health and Personal/Personal Items | Health and Personal/Money Clips | Health and Personal/Reading | ~Stationery | Business Card Holders~Health |  Personal |  Money Clips |  Personal Items |  Reading |  Bookmark |  silver |  plated |  metal |  & |  nickel |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated and supplied in a two part gift box.~Can be used as a bookmark or a money clip. Nickel plated metal ideal for engraving.~~Metal with nickel plating~30mm(w) x 45mm(h)~Sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 115mm(h) x 55mm(w) x 20mm(d)~8813.jpg~8813_0008.jpg | ~~~~~~~~~Colour Print  |  Deboss  |  Debossed Foil  |  Foil Stamp  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 13mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~~10~~10~10.38~25~8.65~50~7.79~100~7.02~250~6.27~500~5.81~1000~5.20~2500~4.69~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~400~365~230~6.8~200~0.03358~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8813
1325~2164~The Range 2017~~~~21M8814~Metal Money Clip~21M8814~21M21M8814~Health and Personal/Personal Items | Health and Personal/Money Clips | ~Bags | Wallets & Coin Pouch~Health |  Personal |  Money Clips |  Personal Items |  Silver |  plated |  money |  clip |  metal |  and |  nickle |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated supplied in a two part gift box~Silver plated money clip metal and nickel plated~~Metal with nickel plating~25mm(w) x 55mm(h)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 113mm(h) x 55mm(w) x 20mm(d)~8814.jpg~8814_0012.jpg | 8814_0014.jpg | 8814_0015.jpg | ~~~~~~~~~Colour Print  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 20mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~20.79~25~13.53~50~10.97~100~8.98~250~7.71~500~7.48~1000~6.71~2500~6.15~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~390~240~240~5.1~96~0.022464~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8814
1326~2164~The Range 2017~~~~21M8814~Metal Money Clip~21M8814~21M21M8814~Health and Personal/Personal Items | Health and Personal/Money Clips | ~Bags | Wallets & Coin Pouch~Health |  Personal |  Money Clips |  Personal Items |  Silver |  plated |  money |  clip |  metal |  and |  nickle |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated supplied in a two part gift box~Silver plated money clip metal and nickel plated~~Metal with nickel plating~25mm(w) x 55mm(h)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 113mm(h) x 55mm(w) x 20mm(d)~8814.jpg~8814_0012.jpg | 8814_0014.jpg | 8814_0015.jpg | ~~~~~~~~~Colour Print  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 20mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~33.25~25~18.72~50~13.60~100~10.28~250~8.23~500~7.97~1000~7.10~2500~6.43~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~390~240~240~5.1~96~0.022464~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8814
1327~2164~The Range 2017~~~~21M8814~Metal Money Clip~21M8814~21M21M8814~Health and Personal/Personal Items | Health and Personal/Money Clips | ~Bags | Wallets & Coin Pouch~Health |  Personal |  Money Clips |  Personal Items |  Silver |  plated |  money |  clip |  metal |  and |  nickle |  plated |  Silver |  Metal |  with |  nickel |  plating~~FALSE~Metal/nickel plated supplied in a two part gift box~Silver plated money clip metal and nickel plated~~Metal with nickel plating~25mm(w) x 55mm(h)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 113mm(h) x 55mm(w) x 20mm(d)~8814.jpg~8814_0012.jpg | 8814_0014.jpg | 8814_0015.jpg | ~~~~~~~~~Colour Print  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 30mm(h) x 20mm(w)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~~10~~10~12.75~25~11.02~50~10.16~100~8.93~250~8.08~500~7.81~1000~7.00~2500~6.36~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~390~240~240~5.1~96~0.022464~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8814
1328~2164~The Range 2017~~~~21M8815~Covered Luggage Tag~21M8815~21M21M8815~Home and Travel/Luggage Tags | Home and Travel/Travel | ~Travel | Luggage Tags~Home |  Travel |  Luggage Tags |  Travel |  Retangular |  shaped |  luggage |  tag |  black |  leather |  strap |  metal |  pearl |  nickel |  plated |  silver |  with |  black |  strap |  metal/pearl |  nickel. |  Leather |  look |  strap |  Silver~~FALSE~Keep details hidden away, rectangular security covered luggage tag in metal/pearl nickel.~Engraves champagne~~metal/pearl nickel. Leather look strap~97mm(w) x 58mm(h)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 110mm(h) x 121mm(w) x 37mm(d)~8815.jpg~8815_0008.jpg | 8815_0007.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~On Front: Laser - 30mm(w) x 20mm(h), Pad - 50mm(w) x 30mm(h). On Back: Laser/Pad - 58mm(w) x 40mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~35.50~25~24.25~50~18.70~100~16.20~250~14.05~500~12.60~1000~11.64~2500~11.57~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~520~465~225~11~80~0.054405~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8815
1329~2164~The Range 2017~~~~21M8815~Covered Luggage Tag~21M8815~21M21M8815~Home and Travel/Luggage Tags | Home and Travel/Travel | ~Travel | Luggage Tags~Home |  Travel |  Luggage Tags |  Travel |  Retangular |  shaped |  luggage |  tag |  black |  leather |  strap |  metal |  pearl |  nickel |  plated |  silver |  with |  black |  strap |  metal/pearl |  nickel. |  Leather |  look |  strap |  Silver~~FALSE~Keep details hidden away, rectangular security covered luggage tag in metal/pearl nickel.~Engraves champagne~~metal/pearl nickel. Leather look strap~97mm(w) x 58mm(h)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 110mm(h) x 121mm(w) x 37mm(d)~8815.jpg~8815_0008.jpg | 8815_0007.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~On Front: Laser - 30mm(w) x 20mm(h), Pad - 50mm(w) x 30mm(h). On Back: Laser/Pad - 58mm(w) x 40mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~54.96~25~32.47~50~22.65~100~17.61~250~14.85~500~13.28~1000~12.26~2500~12.13~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~520~465~225~11~80~0.054405~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8815
1330~2164~The Range 2017~~~~21M8815~Covered Luggage Tag~21M8815~21M21M8815~Home and Travel/Luggage Tags | Home and Travel/Travel | ~Travel | Luggage Tags~Home |  Travel |  Luggage Tags |  Travel |  Retangular |  shaped |  luggage |  tag |  black |  leather |  strap |  metal |  pearl |  nickel |  plated |  silver |  with |  black |  strap |  metal/pearl |  nickel. |  Leather |  look |  strap |  Silver~~FALSE~Keep details hidden away, rectangular security covered luggage tag in metal/pearl nickel.~Engraves champagne~~metal/pearl nickel. Leather look strap~97mm(w) x 58mm(h)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 110mm(h) x 121mm(w) x 37mm(d)~8815.jpg~8815_0008.jpg | 8815_0007.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~On Front: Laser - 30mm(w) x 20mm(h), Pad - 50mm(w) x 30mm(h). On Back: Laser/Pad - 58mm(w) x 40mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~Subtle result - Cannot be Blackened~10~~10~20.71~25~18.98~50~16.75~100~15.70~250~14.37~500~12.90~1000~11.92~2500~11.78~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~520~465~225~11~80~0.054405~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8815
1331~2164~The Range 2017~~~~21M8820~Silver Plated Flat Top Bottle Stopper~21M8820~21M21M8820~Home and Travel/Bar Accessories | ~Glass & Drinkware | Bottle Opener~Home |  Travel |  Bar Accessories |  Flat |  top |  bottle |  stopper |  perfect |  for |  all |  types |  of |  wines |  metal |  and |  nickel |  plated |  silver |  nickel |  plated |  Silver~~FALSE~Flat top metal/nickel plated bottle stopper perfect for all types of wines.~~~nickel plated~85mm(h) x 30mm Ø~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 105mm(h) x 87mm(w) x 40mm(d)~8820.jpg~8820_0005.jpg | ~~~~~~~~~Colour Print  |  Laser Engrave  |  Print with Dome ~Laser/Pad: 20mm Ø~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~~10~~10~17.20~25~15.47~50~14.03~100~12.60~250~11.48~500~10.30~1000~9.50~2500~9.36~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~380~350~225~11.5~60~0.029925~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8820
1332~2164~The Range 2017~~~~21M8835~Metal Money Clip~21M8835~21M21M8835~Health and Personal/Personal Items | Health and Personal/Money Clips | ~Bags | Wallets & Coin Pouch~Health |  Personal |  Money Clips |  Personal Items |  Money |  clip |  Silver |  & |  black |  Metal |  Silver with Black~~FALSE~For the business executive. Money clip made from shiny nickel with matt black coloured infill.~Engraves silver~~Metal~60mm(w) x 25mm(h) x 10mm(d)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 90mm(h) x 76mm(w) x 25mm(d)~8835.jpg~  ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Pad/Laser: 30mm(w) x 10mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~23.13~25~15.86~50~13.30~100~11.12~250~9.68~500~8.64~1000~7.76~2500~7.68~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~410~205~300~8~100~0.025215~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8835
1333~2164~The Range 2017~~~~21M8835~Metal Money Clip~21M8835~21M21M8835~Health and Personal/Personal Items | Health and Personal/Money Clips | ~Bags | Wallets & Coin Pouch~Health |  Personal |  Money Clips |  Personal Items |  Money |  clip |  Silver |  & |  black |  Metal |  Silver with Black~~FALSE~For the business executive. Money clip made from shiny nickel with matt black coloured infill.~Engraves silver~~Metal~60mm(w) x 25mm(h) x 10mm(d)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 90mm(h) x 76mm(w) x 25mm(d)~8835.jpg~  ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Pad/Laser: 30mm(w) x 10mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 2 colour pad print (2 colours)~1 position~2 colour~Pad Print~Pad Print~~10~~10~35.59~25~21.05~50~15.93~100~12.42~250~10.19~500~9.09~1000~8.13~2500~7.96~Setup~140~200~Repeat Setup Cost: $35~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~410~205~300~8~100~0.025215~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8835
1334~2164~The Range 2017~~~~21M8835~Metal Money Clip~21M8835~21M21M8835~Health and Personal/Personal Items | Health and Personal/Money Clips | ~Bags | Wallets & Coin Pouch~Health |  Personal |  Money Clips |  Personal Items |  Money |  clip |  Silver |  & |  black |  Metal |  Silver with Black~~FALSE~For the business executive. Money clip made from shiny nickel with matt black coloured infill.~Engraves silver~~Metal~60mm(w) x 25mm(h) x 10mm(d)~Wrapped in tissue paper  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 90mm(h) x 76mm(w) x 25mm(d)~8835.jpg~  ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Pad/Laser: 30mm(w) x 10mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + Laser Engrave~1 position~Tone on tone~Laser Engrave~Laser Engrave~~10~~10~15.35~25~13.62~50~12.75~100~11.32~250~10.29~500~9.17~1000~8.24~2500~8.10~Setup~75~105~Repeat Setup Cost: $25~Pre Production Sample~~$25~410~205~300~8~100~0.025215~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8835
1335~2164~The Range 2017~~~~21M8839~Pocket Business Card Holder~21M8839~21M21M8839~Desk & Business/Business Card Holders | ~Stationery | Business Card Holders~Desk |  Business |  Business Card Holders |  Pocket |  business |  card |  holder |  metal |  silver |  nickel |  silver |  Metal/silver |  nickel. |  Silver |  cardholder~~FALSE~Metal/silver nickel executive style pocket business card holder.~Holds approximately 17 business cards. Engraves silver (tone on tone)~~Metal/silver nickel.~100mm(w) x 60mm(h)~Wrapped in tissue paper  in a black velvet pouch  in a polybag  sitting in a black moulded insert and presented in a plain black 2 part gift box.  Packaging Size: 121mm(h) x 110mm(w) x 40mm(d)~8839.jpg~8839_0005.jpg | ~~~~~~~~~Colour Print  |  Full Colour Print  |  Laser Engrave  |  Print with Dome ~Laser: 30mm(w) x 20mm(h).  Pad: 50mm(w) x 30mm(h)~FALSE~FALSE~Last created : 26/Aug/16~~~Item + 1 colour pad print (1 colour)~1 position~1 colour~Pad Print~Pad Print~~10~~10~37.40~25~26.16~50~20.43~100~17.31~250~15.61~500~14.01~1000~12.94~2500~12.88~Setup~85~120~Repeat Setup Cost: $50~Pre Production Sample~~$85.00 +$45.00 per colour + $50.00 per colour (if job proceeds)~470~400~230~9.8~60~0.04324~~FREE Freight to SYD, MEL, BNE, GC, CBR for orders where the product component is over $250.00 + GST~http://www.therange.com.au/appa/?8839
